Id,Financial Size,Label
Arts and Heritage,226775000,Arts and Heritage
Community,30875000,Community
Education,309550000,Education
Health,377175000,Health
Others,532325000,Others
Religious,1830475000,Religious
Social and Welfare,1013875000,Social and Welfare
Sports,288400000,Sports
Unclassified,60725000,Unclassified
