Source,Target
S94SS0113B,Buddhism
S87SS0002L,Taoism
S88CC0558K,Buddhism
S96SS0009C,Taoism
201721347M,Others
200820782H,Hinduism
S94SS0082F,Taoism
S89SS0074D,Christianity
T03SS0072F,Christianity
202126195K,Mental Health
S97CC1228L,General Charitable Purposes
201621736D,Other Community-based Services
201332216H,Community
T09CC0007H,Children/Youth
T10CC0009B,North East
S80SS0135C,North East
T07SS0082J,Buddhism
T07CC2010B,North East
T07CC2053K,North East
T06CC1941B,North West
S83SS0002B,Taoism
T16CC0001J,North West
S92SS0126G,Buddhism
T08CC3013H,Local Educational Institutions/Funds
200309783M,Environment
200207271H,Visual Arts
S89CC0680J,Foundations & Trusts
S84SS0093D,General Charitable Purposes
S88SS0097H,Buddhism
S84SS0028D,Taoism
T02SS0233C,Christianity
S00CC0008K,Christianity
S94SS0098J,Buddhism
201103782C,Community
T13CC0003H,General Charitable Purposes
S90SS0032E,Buddhism
S84CC0096H,Children/Youth
201004374E,Community
202102374C,Community
S62SS0063F,Christianity
T06CC1988E,Hinduism
T19SS0056B,Islam
S85SS0043F,Taoism
202125987Z,Others
202125987Z, Dental services
T16CC0004H,North East
T07CC2007B,North East
T12CC0002G,North East
S93SS0150G,Buddhism
201401059R,Support Groups
T02SS0020F,Christianity
201406530G,Children/Youth
201717636M,Community
200506211G,Christianity
T06CC1973J,Central
S51SS0003A,Buddhism
S93SS0030F,Taoism
S91SS0028C,Taoism
201136393K,Visual Arts
T02CC1640B,South West
S80SS0032B,Taoism
T04SS0155B,Christianity
S91CC0818H,Community
S95SS0055F,Christianity
S99SS0066E,Christianity
T07CC2015D,North East
S93SS0058F,Buddhism
S97SS0040J,Taoism
201000334H,General Charitable Purposes
S99SS0001F,Christianity
T14SS0018D,Community/Chronic Sick Hospital
S96SS0085D,Diseases/Illnessess Support Group
200809663K,Music & Orchestras
S89SS0003F,Support Groups
201506964K,General Charitable Purposes
T05SS0263L,General Charitable Purposes
201406657D,Animal Welfare
S91SS0055H,Buddhism
200416313W,Community
T00CC1410F,
199805169D,Historical & Cultural Conservation
200812479D,Community
T07SS0228C,Community
S95SS0148B,Music & Orchestras
S81SS0008A,Community
T07CC2020G,North West
S81SS0062L,Christianity
S66SS0048G,General Charitable Purposes
201623926M,Other Community-based Services
S85SS0074F,Diseases/Illnessess Support Group
T08GB0033C,Literary Arts
T02SS0166D,Taoism
202000632R,Historical & Cultural Conservation
T10SS0125C,Historical & Cultural Conservation
S84CC2028B,Islam
T02CC1635K,Foundations & Trusts
S94CC1059C,General Charitable Purposes
S87CC0426G,South East
S92CC0874D,Central
S93SS0075F,Taoism
T12CC0008E,Foundations & Trusts
T08CC4012C,Children/Youth
201603910W,Buddhism
T02CC1606B,Hinduism
T07CC2048G,South East
201021626N,Children/Youth
S98CC1332C,General Charitable Purposes
S97SS0171L,Christianity
S91SS0026L,Diseases/Illnessess Support Group
201724930Z,Other Community-based Services
S85SS0110E,Buddhism
201612198M,Community
S92SS0001D,Buddhism
S95SS0010F,Taoism
S87SS0004C,Christianity
201635277R,Community
S90SS0084L,Christianity
201542804G,Children/Youth
201116566W,Christianity
198001460H,Christianity
T08SS0159F,Community
201713769M,Support Groups
S99SS0158E,Community
T00SS0098K,Christianity
S95SS0025B,Christianity
200415547M,Community
S99SS0017J,Children/Youth
201418437Z,Children/Youth
200608289Z,Humanitarian Aid
S85SS0078A,Taoism
T06CC1969B,Buddhism
S91SS0007H,Taoism
S85SS0027B,Taoism
T06SS0031E,Support Groups
S61SS0184J,Christianity
T04SS0110B,Disability Sports
S85SS0012F,Buddhism
202126511D,Others
202126511D, Foundation
200722797E,Others
S86SS0046K,Taoism
S90SS0006G,Buddhism
T01SS0001J,Christianity
S96SS0046B,Christianity
S69SS0014A,Buddhism
S21CC0001E,Taoism
T03CC1651H,South West
T01SS0013F,TCM Clinic
S92CC0881K,South East
S98SS0044J,Christianity
S92CC0869A,North East
S77SS0026B,Taoism
202010657N,Disability (Adult)
T13SS0090E,Competitive Sports
T05SS0011A,Christianity
T04SS0281B,Others
200701899H,"Professional, Contemporary & Ethnic Dance"
200817745G,Christianity
S97SS0141G,Christianity
S93SS0098D,Buddhism
S92SS0003G,Buddhism
S84CC0084L,Foundations & Trusts
S85CC0165D,General Charitable Purposes
S94CC1011D,General Charitable Purposes
S89SS0004B,Christianity
200822937C,Think Tanks
198304234E,Christianity
202213461H,Children/Youth
T02SS0043D,Christianity
201006538Z,General Charitable Purposes
201307803W,Community
201423780G,Children/Youth
S85SS0073K,Taoism
S61SS0070G,Christianity
200503047M,General Charitable Purposes
200802484D,Think Tanks
201430532E,Children/Youth
S81SS0089D,Buddhism
S93SS0001J,Buddhism
S98SS0094A,Christianity
S88SS0110J,Christianity
S93CC0976C,Foundations & Trusts
T04CC1802K,North East
S50SS0001D,Buddhism
198403069R,Taoism
S87SS0113C,Taoism
S87SS0005K,Taoism
S84SS0007J,Buddhism
202228829D,Children/Youth
S92SS0014H,Taoism
T13SS0039E,Support Groups
S78SS0017J,Hinduism
S81SS0017K,Taoism
S91SS0002F,Taoism
S86SS0091L,Christianity
201622272N,Community
T18SS0191F,Children/Youth
S99SS0036A,Community
S80SS0043C,Taoism
T06CC3003D,Hospital/Statutory Board
202114297R,Hospice
200501743W,Disability (Adult)
S91SS0017B,Buddhism
T09SS0193L,Christianity
S87SS0052C,Christianity
S96SS0080B,Christianity
S99SS0016B,Christianity
T00SS0135E,Christianity
S97SS0038E,Christianity
S89SS0019J,Christianity
S97SS0173C,Christianity
T04SS0058K,Christianity
T04SS0029B,Community
S97SS0056A,Christianity
S91CC0817A,General Charitable Purposes
T06SS0197B,Christianity
S92CC0856H,South East
S81SS0003K,Christianity
S86SS0037A,Active Ageing
S86CC0353E,Community
S62SS0040H,Christianity
S88SS0004H,Taoism
S89SS0080C,Taoism
201543817H,Health Professional Group
T00SS0207F,Disability (Adult)
T20CC0001D,Children/Youth
S94SS0050K,Christianity
S61SS0112D,Christianity
S92CC0900J,Christianity
T07SS0006H,Taoism
200609590N,Christianity
T12SS0101H,Music & Orchestras
S98SS0112D,Christianity
201300850N,Christianity
S62SS0052E,Children/Youth
S92SS0016L,Visual Arts
S97SS0016C,Children/Youth
S98SS0035L,Family
S95CC1091E,Christianity
S88CC0566A,Buddhism
201216939N,Animal Welfare
T06SS0304F,Eldercare
S90SS0008K,Christianity
198001725R,Christianity
S92CC0913B,Self-Help Groups
S89CC0679A,North East
S85CC0171C,Others
S85CC0170G,Others
S87CC0446F,General Charitable Purposes
201408320W,Humanitarian Aid
S71SS0056J,Others
S86CC0400E,Others
201619560Z,Other Community-based Services
S90CC0753H,Christianity
201205064M,General Charitable Purposes
S99SS0093K,Children/Youth
S79SS0022F,Others
201319279R,Others
S89CC0692F,Central
T16CC0008C,Support Groups
201322114N,General Charitable Purposes
202104036C,General Charitable Purposes
T09SS0071G,Others
S72SS0047E,Others
T12SS0228C,Competitive Sports
S98SS0140E,Disability (Adult)
201111119G,Local Educational Institutions/Funds
T06SS0069K,Training & Education
201718734C,Children/Youth
T00SS0181B,Historical & Cultural Conservation
T12SS0090L,Diseases/Illnessess Support Group
S90CC0731F,Foundations & Trusts
T03SS0047D,Christianity
S84CC0107E,Trust/Research Funds
T01SS0058F,Other Community-based Services
T13SS0112C,Family
201227165G,Others
T04SS0147L,Community
200410338Z,Health Professional Group
200410329W,Health Professional Group
200410332N,Health Professional Group
200815442W,Health Professional Group
200410333E,Health Professional Group
S95CC1101F,South West
201433751W,Children/Youth
S96SS0042G,Christianity
S88SS0008C,Christianity
T01SS0184F,Christianity
S90SS0020H,Christianity
S88SS0032J,Christianity
T07CC2019K,South West
201926663G,Foundations & Trusts
S61SS0063A,Christianity
S93SS0117C,Christianity
S93SS0032J,Christianity
T12SS0078B,Community
S99SS0072D,Community
S90SS0028J,Christianity
201604228M,General Charitable Purposes
200414000R,General Charitable Purposes
T12SS0083E,Taoism
S98SS0158L,Taoism
T11SS0134F,Historical & Cultural Conservation
S71SS0015D,Christianity
S94SS0122L,Taoism
S99SS0091G,Taoism
S85SS0042K,Taoism
S93CC0953E,Support Groups
T17SS0038G,Children/Youth
200721080W,General Charitable Purposes
S88SS0047E,Taoism
S75SS0012C,Taoism
S97SS0113F,Taoism
S99SS0003J,Buddhism
S72SS0005D,Taoism
T03SS0054K,Buddhism
S72SS0011C,General Charitable Purposes
S96SS0068D,Community
T01SS0190E,Christianity
T02CC1598D,South East
201003883D,Children/Youth
S99SS0065J,Animal Welfare
T09CC0002F,Others
198300183W,Christianity
S95SS0036C,Christianity
202008017H,Christianity
T07CC2006F,North West
201918337D,Christianity
T08CC2141J,General Charitable Purposes
T05SS0189F,Disability (Adult)
202040991W,Community
T03CC1718F,North West
202024946W,Foreign Educational Institutions/Funds
201942715K,Community
S91CC0827F,Central
S91CC0825C,North West
S86CC0367E,North West
S92SS0034G,Buddhism
S92SS0077D,Buddhism
S87SS0016L,Buddhism
S91SS0021J,Others
201912577E,Other Community-based Services
202139351M,Children/Youth
S97SS0166H,NSAs
201334143M,General Charitable Purposes
T01SS0187E,Hinduism
T08SS0161K,Children/Youth
T08SS0032L,Children/Youth
200813317G,Community
S73SS0030L,Community
S98SS0153J,Christianity
200722544Z,Humanitarian Aid
S89SS0030L,Christianity
S94SS0047K,Buddhism
S88CC0571D,North East
T12SS0009G,Music & Orchestras
200210342Z,Theatre & Dramatic Arts
197700038D,Christianity
201132695K,Children/Youth
S93SS0154B,Diseases/Illnessess Support Group
S90SS0058B,Christianity
201020535E,General Charitable Purposes
201701329M,Literary Arts
T07SS0078B,Christianity
201112356K,Disability (Adult)
202018265W,Disability (Adult)
202020914M,Local Educational Institutions/Funds
T05SS0095C,Family
S85SS0044B,Taoism
201229962D,General Charitable Purposes
201916704W,Community
200702751M,Children/Youth
S79SS0014D,Christianity
S91SS0045C,Community
S60SS0011A,Community
200816234N,General Charitable Purposes
201112640R,Others
T11SS0118B,Think Tanks
S94SS0051F,Christianity
S85CC2085E,General Charitable Purposes
198700575Z,Christianity
T04CC1777A,Christianity
201436550G,Others
S87CC0438D,Foundations & Trusts
200920810R,Environment
S86SS0033F,Eldercare
201528793W,Environment
S96SS0156J,Christianity
S94SS0048F,Buddhism
S97SS0138G,Buddhism
S96SS0163D,Taoism
S96SS0067H,Children/Youth
199900287D,Theatre & Dramatic Arts
T03SS0025B,Christianity
S84SS0051C,Others
T08CC4084H,Christianity
S87CC0460G,Central
S97CC1249F,North West
S92SS0002L,Taoism
T09FC0059A,Christianity
S83SS0040H,Taoism
T08SS0214H,NSAs
200205358C,Environment
S89SS0070J,Christianity
T04SS0158A,Christianity
T07CC2011J,North West
T11CC0004E,North West
201940371M,Cluster/Hospital Funds
T01SS0092F,Music & Orchestras
S98SS0084G,Support Groups
201022300R,Mental Health
S92CC0879F,Central
S76SS0054J,Buddhism
S99CC1352G,South West
S87SS0011J,Taoism
