Source,Target
S93SS0101L,Christianity
T15SS0083J,Christianity
S70SS0022E,Christianity
S97SS0105D,Christianity
197701716N,Christianity
202020804E,Community
S84CC0113D,General Charitable Purposes
S95SS0033D,Taoism
T03CC1700L,Visual Arts
S84CC0090K,Others
197100578E,Christianity
T02SS0181A,Buddhism
S69SS0051L,Buddhism
S92SS0025J,Christianity
201425430M,Family
T12SS0084A,Disability (Children)
201106512M,General Charitable Purposes
S89SS0076G,Taoism
202030378D,Children/Youth
T14CC0004J,Historical & Cultural Conservation
S96SS0197C,Christianity
S94SS0064K,Christianity
S93SS0134C,Christianity
201319107K,General Charitable Purposes
S89SS0047K,Christianity
201331830Z,Others
200410341R,Health Professional Group
200410334R,Health Professional Group
T12SS0028K,Mental Health
S84SS0104A,Taoism
S72SS0023L,General Charitable Purposes
199707455Z,Music & Orchestras
S94SS0004B,Christianity
S93SS0065A,Christianity
197902131C,Christianity
T03SS0182B,Christianity
S80SS0042G,Christianity
S87SS0097C,Christianity
S88SS0009K,Christianity
T01SS0022D,Christianity
T01SS0114D,Christianity
197903636E,Christianity
200909045D,Christianity
S90SS0037G,Christianity
198305429M,Christianity
S90SS0075B,Christianity
T03SS0135J,Christianity
S70SS0015K,Christianity
201411870W,"Professional, Contemporary & Ethnic Dance"
201526674R,Children/Youth
199502067G,Traditional Ethnic Performing Arts
197901408G,Christianity
S90CC0752A,Christianity
197700453M,Christianity
S93SS0068L,Buddhism
S96SS0028F,Taoism
S92SS0044A,Buddhism
S93SS0010G,Taoism
200209251R,Theatre & Dramatic Arts
197900126K,Taoism
201412408N,Children/Youth
S94SS0007A,Taoism
S87CC0505C,Christianity
T03SS0107H,Christianity
202020064E,Music & Orchestras
S87SS0050L,Christianity
S83SS0001F,Active Ageing
T06SS0199E,Active Ageing
T06SS0095H,General Charitable Purposes
201314186Z,Animal Welfare
201713778N,Family
S84SS0074A,Christianity
S96SS0038L,Christianity
T04SS0073G,Other Community-based Services
S98SS0030J,Christianity
201135738K,Children/Youth
S90SS0094E,Christianity
T06SS0077A,Family
T03SS0196B,Christianity
S92SS0050L,Christianity
198703252G,Christianity
S89CC0658F,South West
T02CC1597H,South West
T11SS0182F,Theatre & Dramatic Arts
T06SS0001A,Buddhism
201418096G,Children/Youth
T05SS0234C,Children/Youth
S91CC0795C,South East
T11CC0006H,Children/Youth
T10SS0077G,Disability Sports
201437049R,General Charitable Purposes
S87CC0542B,South West
S82SS0046A,Buddhism
S70SS0033F,Taoism
201304904N,Other Community-based Services
201407233M,Community
S92CC0922L,Central
201942228D,Children/Youth
199907527E,Traditional Ethnic Performing Arts
202015048G,General Charitable Purposes
S95SS0026J,Children/Youth
T12SS0103L,Christianity
T07SS0044C,Christianity
S97SS0060H,Christianity
S90CC0718A,Taoism
S90CC0764J,South East
201525056H,Children/Youth
S96SS0084H,Christianity
T11CC0008L,South West
201620695W,Community
201105101N,Literary Arts
S70SS0021J,Community
200303941K,Others
200500010H,Historical & Cultural Conservation
S85SS0003H,Christianity
T01SS0003A,Others
201623215G,Community
T03CC1734K,Christianity
201632622G,Support Groups
T18CC0006K,Community
T00CC1416D,Central
S87CC0484A,Christianity
S95SS0151B,Community
197300850D,Christianity
198900203M,Christianity
T02SS0190K,Community
200204369H,Family
201017533Z,Children/Youth
S97SS0009H,Christianity
T00SS0010B,Christianity
201903610E,Historical & Cultural Conservation
T13SS0070F,Community
S86SS0075G,Christianity
T14SS0164C,TCM Clinic
201021998H,General Charitable Purposes
S98SS0054C,Christianity
S95SS0028A,Taoism
198306044C,Christianity
T01CC1489K,
T02SS0215G,Community
S88SS0043K,Taoism
S61SS0030J,Christianity
S93SS0019D,Taoism
T08CC4001B,Christianity
199506857R,Others
197602001W,Others
201328650M,General Charitable Purposes
201527668D,Literary Arts
S83SS0014K,Community
T19CC0001B,Local Educational Institutions/Funds
200916397C,Visual Arts
197600306D,Community
201212078W,Foundations & Trusts
S87CC0512J,Christianity
S87SS0127C,Buddhism
T01SS0214F,Buddhism
S82SS0064H,Others
S85CC0155K,Eldercare
S70SS0003B,Hinduism
T02CC1612A,Hinduism
200402955N,Community
S86SS0015K,Health Professional Group
S96SS0196G,Diseases/Illnessess Support Group
S65SS0037A,NSAs
S82SS0013J,Others
S74SS0032H,Christianity
T09SS0065H,Literary Arts
S90SS0015E,Christianity
T06CC1994D,Central
S85CC0214G,Islam
T03SS0181F,Christianity
S84SS0046L,Christianity
S98SS0167J,Environment
S81SS0064C,Community
200910530Z,General Charitable Purposes
T03SS0013E,Day Rehabilitation Centre
S89CC0668L,Central
S84CC0060F,General Charitable Purposes
201300889K,Animal Welfare
S97SS0100B,Christianity
201221584C,Theatre & Dramatic Arts
S93SS0020A,Christianity
S00CC0006G,Children/Youth
S88CC0604C,North West
S86SS0057L,Christianity
S61SS0142H,Environment
S84SS0010J,Diseases/Illnessess Support Group
201316976R,Music & Orchestras
S94SS0006E,Buddhism
T02CC1562B,Local Educational Institutions/Funds
198305428C,Christianity
T02CC1619F,Local Educational Institutions/Funds
T01SS0039C,Christianity
S93SS0079A,Buddhism
199104843M,Foundations & Trusts
S92CC0904D,Buddhism
S70SS0005E,Hinduism
S89CC0678E,Central
T21SS0089A,Others
T21SS0089A, Seniors Activity Centre/Eldercare
S94SS0022J,Taoism
200404121H,Christianity
S97SS0028L,Hinduism
201405223G,General Charitable Purposes
S94SS0002K,Taoism
S76SS0044D,Home Care
S98CC1301C,Christianity
T07SS0031K,Christianity
S83SS0075C,Taoism
S86SS0078F,Christianity
200401226H,Children/Youth
S85SS0047A,Diseases/Illnessess Support Group
200302260G,Disability (Adult)
T11CC0003J,General Charitable Purposes
S86SS0011D,Christianity
S86SS0019E,Christianity
S97SS0003K,Christianity
S94CC1040A,Community
T03SS0051L,Children/Youth
T02SS0168G,Christianity
S86SS0052J,Christianity
201101809W,Music & Orchestras
201714757N,Other Community-based Services
T18SS0008H,Community
201107654R,General Charitable Purposes
S88SS0028B,Taoism
201012290W,Christianity
T03SS0001H,Christianity
S87SS0095L,Christianity
T03SS0043J,Christianity
S97CC1289D,Local Educational Institutions/Funds
S90SS0004D,Taoism
S86CC0356D,Central
S87SS0017G,Taoism
S96SS0056G,Christianity
S77SS0021L,Christianity
201512247H,Christianity
200412861G,Christianity
197902061E,Christianity
T13SS0059D,Christianity
T01SS0004H,Family
S61SS0190H,Christianity
S69SS0005C,NSAs
S85CC0279F,General Charitable Purposes
S89SS0037E,Buddhism
S98SS0123E,Taoism
T06CC1938B,South West
T02SS0001C,Christianity
198502476C,Christianity
T05SS0150E,Children/Youth
S97SS0021F,Taoism
S90SS0087K,Christianity
202128242C,Mental Health
S61SS0181K,NSAs
201702537H,Nursing Home
T08SS0022F,Buddhism
S95SS0034L,Others
T00SS0054F,Family
T06SS0020D,Christianity
T12SS0174J,Christianity
T03SS0084C,Christianity
S92SS0052C,Competitive Sports
201606080E,Traditional Ethnic Performing Arts
200312163D,
200613422M,Theatre & Dramatic Arts
S88CC0593F,Buddhism
S68SS0030L,Taoism
S93SS0051A,Taoism
S93SS0035H,Buddhism
199302864D,Foundations & Trusts
200300390G,Christianity
197201822Z,Christianity
200104580C,Community
197600749E,General Charitable Purposes
197700359D,Christianity
200720373E,Others
S88CC0570H,Others
202011994M,Community
199904358R,Historical & Cultural Conservation
T09CC0006A,General Charitable Purposes
202007365W,Children/Youth
201200654E,Community
199905145W,Theatre & Dramatic Arts
201231446R,General Charitable Purposes
S94SS0013L,Christianity
197000072D,Christianity
199504600N,Traditional Ethnic Performing Arts
T17SS0092F,Christianity
199003454W,Christianity
199403833N,"Professional, Contemporary & Ethnic Dance"
T01SS0154B,Children/Youth
T05CC1885K,Central
S88SS0048A,Taoism
S86SS0009L,Buddhism
202017347M,General Charitable Purposes
201503222G,Diseases/Illnessess Support Group
S79SS0001L,Christianity
S88CC0586L,Hinduism
200906631E,Non-NSAs
T12SS0058C,Animal Welfare
200813216C,Historical & Cultural Conservation
S87SS0049C,Christianity
S84SS0048C,Christianity
T01SS0147G,Support Groups
T05CC1856B,Foundations & Trusts
S68SS0003F,Christianity
S70SS0024H,NSAs
S90SS0119B,Foundations & Trusts
S67SS0031B,NSAs
S86CC0396B,Others
S64SS0050A,Local Educational Institutions/Funds
S62SS0073L,Think Tanks
198702670M,Christianity
T02SS0123G,Others
S58SS0009A,NSAs
S80SS0009C,Buddhism
S71SS0017G,Christianity
T05SS0315B,Others
S98SS0018L,Community
S91CC0783F,Buddhism
S67SS0019D,Hinduism
T03SS0018G,Taoism
T02SS0109F,Taoism
S87SS0035C,Christianity
S97SS0134A,Buddhism
S85SS0053L,Christianity
S77SS0047H,Christianity
S64SS0018D,Christianity
T09CC0010H,Community
S65SS0029K,Buddhism
S89CC0702G,Community
200509328Z,Children/Youth
S84SS0020C,Buddhism
199508102H,Day Rehabilitation Centre
S96SS0177D,Christianity
200711586W,Community
T02SS0206J,Christianity
S99SS0155F,Christianity
201631412H,Music & Orchestras
201101201D,"Professional, Contemporary & Ethnic Dance"
S88SS0040L,Christianity
S99SS0118G,Christianity
S82SS0056F,Buddhism
T04SS0140F,Children/Youth
T20CC0005K,North East
T02SS0222B,Community
T08CC4064J,Christianity
200807132R,Theatre & Dramatic Arts
S84SS0121A,Buddhism
T04SS0047J,Community
201427191H,Visual Arts
T05SS0171L,Animal Welfare
200006266G,TCM Clinic
200915559E,Environment
S98SS0046A,Christianity
T04SS0127A,Christianity
S86SS0025D,Christianity
T05CC1897G,Cluster/Hospital Funds
202010012C,Others
S86SS0064F,General Charitable Purposes
S61SS0118B,Christianity
S84CC0125A,Community
S84CC0126H,General Charitable Purposes
T04SS0068D,Diseases/Illnessess Support Group
S83SS0007D,Taoism
T13CC0002A,Day Rehabilitation Centre
198003337E,Christianity
201111547C,Diseases/Illnessess Support Group
202139383M,Others
202139383M, A care compact network for migrant workers’ wellbeing to catalyse innovative and enable holistic care.
201502278Z,Animal Welfare
S92SS0030A,Christianity
S90SS0017H,Christianity
S86CC0315K,Christianity
S69SS0022C,Buddhism
S87SS0003G,Buddhism
201526053M,Disability (Adult)
S85SS0099G,Buddhism
S89SS0021B,Buddhism
T03SS0014A,Community
201025285G,Foundations & Trusts
197400412Z,Christianity
T03SS0068K,Community
T02SS0156K,Buddhism
S84SS0022F,Taoism
S68SS0025H,Buddhism
201228788H,General Charitable Purposes
S94SS0023E,Taoism
S61SS0183B,Buddhism
197500851C,Historical & Cultural Conservation
T19SS0269K,Christianity
S95SS0041F,Christianity
201135461H,Christianity
S66SS0042J,Christianity
198200899N,Community
201005158K,General Charitable Purposes
S81SS0029G,Buddhism
S95SS0121J,Buddhism
200922582R,Others
S97SS0144F,Taoism
S86SS0008D,Christianity
S98SS0005G,Islam
202040087Z,General Charitable Purposes
201627578E,Children/Youth
S85CC0152L,General Charitable Purposes
S90SS0011K,Christianity
T19CC0003E,Local Educational Institutions/Funds
T10CC0005G,Foreign Educational Institutions/Funds
T08CC2100D,Support Groups
198403830R,Christianity
S98SS0151F,Community
S91SS0037A,Taoism
S88SS0052H,Christianity
T04SS0078J,Christianity
T09CC0009L,Support Groups
S97SS0023J,Community
198403070K,Christianity
S95SS0142D,Others
S98SS0053G,Christianity
201512894G,Christianity
S86SS0055H,Christianity
201942554C,Health Professional Group
200301352N,Local Educational Institutions/Funds
201428805R,Historical & Cultural Conservation
T05SS0028L,General Charitable Purposes
T08SS0168D,Christianity
S96SS0066A,Taoism
200404897E,Christianity
199300813R,Community
T05SS0005B,Buddhism
S78SS0019A,Christianity
201312095N,Children/Youth
S67SS0009K,Christianity
200908466C,"Professional, Contemporary & Ethnic Dance"
T00SS0011J,Christianity
S87CC0514A,Christianity
S71SS0006F,Christianity
196000128N,Christianity
200101189M,Buddhism
199300505C,Foundations & Trusts
S86SS0002F,Disability (Adult)
201535138W,General Charitable Purposes
S87SS0106H,Christianity
S90SS0036L,Christianity
202005782R,"Professional, Contemporary & Ethnic Dance"
200904371Z,Children/Youth
200517866G,Local Educational Institutions/Funds
T08CC4067H,Christianity
S87SS0022K,Christianity
S95SS0104J,Christianity
S78SS0030C,Christianity
S88SS0012K,Christianity
S78SS0057G,Taoism
S95SS0029H,Christianity
201003141H,Children/Youth
T03CC1661B,North West
S60SS0006J,Christianity
T04SS0148G,Active Ageing
S93CC0969H,Children/Youth
201133557D,
T12SS0147D,Christianity
200101825N,Family
T04SS0204E,Community
201540730N,Children/Youth
S99SS0144E,Animal Welfare
202034409E,Disability (Adult)
201938707Z,Children/Youth
201000618K,Disability (Adult)
201131617N,Support Groups
S95SS0134B,Other Community-based Services
S90SS0052D,Community
T07SS0217B,Children/Youth
S84SS0033G,Christianity
T10SS0047C,Community
201613180H,TCM Clinic
S66SS0014H,Buddhism
S87CC0463F,South West
S81SS0026H,Buddhism
201130551H,Children/Youth
T20CC0007B,South West
S75SS0039G,Community
S98SS0016H,Christianity
S84CC0074F,Christianity
S78SS0038D,Christianity
S97SS0091H,Community
201130578K,Environment
S88SS0049H,Christianity
S60SS0023J,Christianity
S89SS0020F,Christianity
201314611H,Children/Youth
S71SS0008J,Christianity
201117141R,Foreign Educational Institutions/Funds
201500327G,Think Tanks
201025962K,Think Tanks
201432448C,Literary Arts
199500688W,Theatre & Dramatic Arts
200304127K,Training & Education
S89SS0091D,Day Rehabilitation Centre
S95SS0015H,Christianity
T03SS0149J,Christianity
S87CC0497E,Christianity
T12SS0071H,Christianity
T01SS0182C,Christianity
201006653E,Community
S90CC0733J,Islam
S80SS0046B,Eldercare
T07CC2027A,Local Educational Institutions/Funds
197700528D,Christianity
S89SS0054E,Christianity
T13SS0122H,Christianity
S86SS0063K,Christianity
S80SS0022H,Christianity
S96SS0165G,Community
202128031H,Children/Youth
T13CC0001E,Christianity
S88CC0598H,Christianity
T18CC0001H,Christianity
S87CC0543J,Christianity
202017416W,General Charitable Purposes
T06CC1999F,Environment
S74SS0014A,Christianity
S99SS0135G,Children/Youth
T08CC2118K,Community
T05SS0071J,Children/Youth
200923473R,Environment
200506089N,Community
S93SS0161H,Buddhism
200601578E,Trust/Research Funds
S97SS0098B,Children/Youth
S91SS0058G,Support Groups
202115301G,Children/Youth
198403071C,Christianity
T04SS0101D,Christianity
T00SS0136A,Christianity
S89SS0046C,Buddhism
T04SS0088C,Community
S69SS0015H,Buddhism
S87CC0496J,Christianity
S61SS0173H,Buddhism
T00SS0072B,Nursing Home
T01SS0095E,Disability (Adult)
T08CC4004A,Christianity
201502077Z,Music & Orchestras
T11CC0007D,Family
199002445Z,Theatre & Dramatic Arts
T13SS0005F,Christianity
201016236M,Christianity
200104386W,General Charitable Purposes
196800139G,Foundations & Trusts
200910045N,General Charitable Purposes
S52FC1054K,Christianity
201018895W,Foreign Educational Institutions/Funds
200923747E,Christianity
197602121W,Christianity
201104685R,Foundations & Trusts
S87SS0001D,Children/Youth
S87CC0501H,South West
S94SS0110C,Christianity
T02SS0195A,Christianity
S70SS0009L,Others
T08CC4083A,Christianity
T08CC4082E,Christianity
T08CC4081J,Christianity
T08CC4078J,Christianity
T08CC4075K,Christianity
T08CC4074C,Christianity
T10CC0008F,Christianity
S65SS0034B,Hinduism
S79SS0010J,Hinduism
S91CC0802E,Hinduism
S93SS0050E,Hinduism
T12SS0133D,Christianity
S91SS0003B,Disability Sports
S68SS0017F,NSAs
S74SS0031A,NSAs
S76SS0039A,NSAs
T09SS0253D,General Charitable Purposes
201003786C,Non-NSAs
S67SS0016E,Foundations & Trusts
S98SS0168E,NSAs
197201630C,Christianity
S61SS0094A,NSAs
S96SS0012C,Community
S96SS0013K,Foundations & Trusts
S65SS0016F,Buddhism
S66SS0011J,NSAs
S60SS0022B,NSAs
S60SS0024E,Christianity
S61SS0032A,NSAs
S68SS0038A,Diseases/Illnessess Support Group
198002683M,Christianity
S62SS0055D,TCM Clinic
S90SS0013B,Buddhism
S76SS0006J,Buddhism
S81SS0112K,Christianity
S86SS0060L,Christianity
202210718R,Community
S96SS0003E,Christianity
S91SS0065B,Christianity
S86SS0059C,Christianity
T00CC1406K,Community
T08CC3014D,Local Educational Institutions/Funds
200813073R,Foreign Educational Institutions/Funds
T02SS0201G,Taoism
S93SS0156E,Buddhism
202140090Z,Children/Youth
198301685H,Christianity
T08SS0025E,Active Ageing
S88SS0090C,Buddhism
S98SS0006C,Diseases/Illnessess Support Group
200807744W,Christianity
200100806D,Christianity
201229333H,Community
S89CC0666H,Children/Youth
S89CC0620A,Christianity
S87CC0515H,Christianity
S95SS0069F,TCM Clinic
S88SS0023L,Buddhism
T02SS0212H,Community
197400953N,Christianity
T03CC1669C,Historical & Cultural Conservation
T17SS0051A,Christianity
S71SS0014H,Children/Youth
S48SS0014A,Children/Youth
S89SS0017F,Christianity
S61SS0098G,Christianity
S64SS0035D,Christianity
S96SS0203J,Diseases/Illnessess Support Group
S63SS0037B,Buddhism
198102854W,Christianity
201436096K,Visual Arts
200905934E,"Professional, Contemporary & Ethnic Dance"
S92SS0054F,Buddhism
198204057K,Christianity
198201844M,Christianity
T06SS0166B,Children/Youth
T14CC0006A,Children/Youth
S91SS0104L,Children/Youth
T03CC1717K,Historical & Cultural Conservation
T01CC1492K,
T01SS0078E,Others
201504648M,Historical & Cultural Conservation
T08CC4073G,Christianity
T00SS0094D,Diseases/Illnessess Support Group
S88SS0035H,Christianity
T04SS0150L,Family
S92CC0906G,Christianity
S95SS0152J,Buddhism
T04SS0129D,Community
S89SS0079F,Christianity
T12SS0187B,Christianity
S92CC0893G,Christianity
T08CC4071D,Christianity
201022078H,Children/Youth
202038445W,Children/Youth
T02SS0150A,Diseases/Illnessess Support Group
S94CC1027G,Buddhism
S64SS0021D,Christianity
T20SS0040A,Community
201507765H,Christianity
T00SS0052C,Christianity
201501865E,Children/Youth
S64SS0019L,Christianity
T12SS0172F,Christianity
S87CC0537K,Christianity
T10SS0030D,Community
S89CC0669G,Christianity
S62SS0046F,Others
201735206Z,General Charitable Purposes
200818680E,Theatre & Dramatic Arts
201926170N,Children/Youth
201709148H,Christianity
T04SS0233B,Taoism
T12SS0178D,Christianity
T04SS0054D,Children/Youth
201109290W,Foundations & Trusts
T08CC4070H,Christianity
T13SS0016G,Christianity
198202285D,Foreign Educational Institutions/Funds
T12CC0004K,Christianity
S92SS0027A,Family
T00SS0109G,Children/Youth
200615440H,Community
198502251M,Christianity
200308081M,Children/Youth
S87SS0054F,Buddhism
S87CC0503L,Christianity
197903364W,Christianity
T08SS0009A,Christianity
198303071W,Christianity
S95SS0088J,Christianity
S88CC0553H,Christianity
202036276E,Christianity
S86SS0054A,Christianity
201127710M,"Professional, Contemporary & Ethnic Dance"
201331258E,General Charitable Purposes
T05SS0103A,Community
S98SS0092J,Children/Youth
200108115N,Family
S79SS0013H,Christianity
200408452G,Children/Youth
S91SS0020B,Buddhism
T04CC1760B,Christianity
T04SS0050J,Children/Youth
S97SS0159B,Christianity
S86SS0053E,Christianity
198403735R,Christianity
T09SS0023G,Christianity
S97SS0164E,Community
196200166K,Christianity
S87SS0027A,General Charitable Purposes
T00CC1448L,Other Community-based Services
200517863N,Theatre & Dramatic Arts
S96SS0170K,Community
201215478E,Others
201003689Z,Local Educational Institutions/Funds
S81SS0052F,Hinduism
200402751C,Others
S65SS0011D,NSAs
201136224W,Independent Schools
T03CC1711A,
S96SS0151G,Children/Youth
201021634E,Mental Health
S96SS0037D,Christianity
T18CC0004G,Christianity
T08CC4068D,Christianity
T01SS0044F,Christianity
S90SS0068G,Christianity
T08CC4065E,Christianity
S95SS0105E,Christianity
S56SS0023C,Christianity
S76SS0041E,Christianity
T05CC1904J,Christianity
S80SS0015B,Taoism
S85CC0182D,Local Educational Institutions/Funds
S68SS0039H,Historical & Cultural Conservation
S88CC0547J,Christianity
S88CC0573G,Christianity
200201465K,Community
S66SS0023F,Children/Youth
199501798C,Children/Youth
194900051D,Community
S66SS0044A,Buddhism
T08CC4063B,Christianity
T08CC4060C,Christianity
T08CC4059F,Christianity
201403108H,Theatre & Dramatic Arts
201902997K,Christianity
201706443H,Christianity
201533890R,Other Community-based Services
200407361W,Community
S87CC0462K,Children/Youth
201134707E,Others
T03SS0125D,Christianity
S86SS0051B,Christianity
197901543W,Christianity
200513050G,Theatre & Dramatic Arts
T00CC1457J,Christianity
S78SS0011L,Taoism
S99SS0047B,Buddhism
S61SS0023C,Buddhism
201611166R,Buddhism
T06SS0275B,Buddhism
S95SS0132K,Buddhism
200818009N,Children/Youth
200200167M,Mental Health
S62SS0041D,Uniformed Groups
S61SS0049L,Eldercare
S90SS0045J,Christianity
S86SS0050F,Christianity
T05SS0003K,Christianity
198402921M,Christianity
S67SS0001J,NSAs
T05SS0066F,Taoism
201016116M,General Charitable Purposes
201512004R,Christianity
201528607M,General Charitable Purposes
S94CC1034B,General Charitable Purposes
200804347D,Others
T00SS0127C,Hinduism
199500567G,Disability (Adult)
201021661K,Children/Youth
200510112D,"Professional, Contemporary & Ethnic Dance"
T01SS0121K,Animal Welfare
S85SS0065H,Taoism
T12SS0143J,Christianity
T03SS0059A,Christianity
199907126R,Christianity
T08CC4058K,Christianity
T03SS0128C,Christianity
201427909W,Trust/Research Funds
T02SS0132E,Animal Welfare
T16CC0006L,Community
201022774G,Disability (Adult)
T03SS0046H,Others
T03SS0046H, Cancer Support
S90SS0056K,Christianity
T10SS0029G,Christianity
S96SS0040D,Christianity
S61SS0045E,Community
198100673K,Christianity
T04CC1808H,Community
S90SS0076J,Foundations & Trusts
T05SS0221K,Nursing Home
S64SS0047A,Christianity
201129946W,Community
200100891D,Theatre & Dramatic Arts
T03SS0057J,Family
201437276K,Children/Youth
200819361D,General Charitable Purposes
S99CC1374J,Buddhism
T01SS0059B,Community
S63SS0041J,Buddhism
201733785K,Historical & Cultural Conservation
S83SS0028K,Taoism
201400920N,Cluster/Hospital Funds
S92SS0024B,Buddhism
199507763G,Children/Youth
T12SS0173B,Christianity
T12SS0075C,Christianity
T01CC1488C,Christianity
S87CC0538F,Christianity
S88SS0005D,Family
200208130H,General Charitable Purposes
202004085K,Other Community-based Services
202136357H,Disability (Adult)
S87CC0509J,Christianity
201323219Z,Nursing Home
S78SS0031K,Others
202005191K,Buddhism
199001149D,Theatre & Dramatic Arts
200404580M,Foreign Educational Institutions/Funds
198801755D,Theatre & Dramatic Arts
195700160W,Disability (Adult)
201014929C,Animal Welfare
201408699H,Music & Orchestras
S61SS0155A,Christianity
199202435N,Theatre & Dramatic Arts
202101573D,Children/Youth
201734370C,General Charitable Purposes
T03CC1744D,Historical & Cultural Conservation
T07CC2064L,Humanitarian Aid
200919200E,Others
197402045E,General Charitable Purposes
197701426D,General Charitable Purposes
201306160D,General Charitable Purposes
201632916C,Others
197300541W,Christianity
198303120W,Christianity
T08CC3020C,Local Educational Institutions/Funds
201108956W,General Charitable Purposes
201503610K,Environment
S87CC0516D,Christianity
200102735H,General Charitable Purposes
T00CC1465L,
201612738D,General Charitable Purposes
195600007Z,Community
S80SS0149C,Home Care
T06CC1974E,Community
S93SS0060K,Disability (Adult)
S61SS0176G,Eldercare
T01SS0118K,Other Community-based Services
T08CC4079E,Christianity
T08CC4077B,Christianity
T08CC4076F,Christianity
T08CC4056G,Christianity
S91CC0832J,Hinduism
S65SS0041H,Hinduism
200300910M,General Charitable Purposes
200812120W,Community
201301276N,Community
S61SS0149B,Children/Youth
T00SS0066C,Children/Youth
201133829K,Christianity
S61SS0060B,Animal Welfare
S68SS0022J,Nursing Home
T02CC1574K,Cluster/Hospital Funds
S60SS0017K,Christianity
200008878C,Visual Arts
201027503Z,Community
S62SS0049E,NSAs
199703832N,Children/Youth
200306728C,General Charitable Purposes
S65SS0005E,NSAs
S65SS0039D,NSAs
S85CC0196D,Uniformed Groups
S66SS0013A,NSAs
S66SS0003G,NSAs
199301614N,Theatre & Dramatic Arts
T08CC3015L,Local Educational Institutions/Funds
200102355R,Think Tanks
S61SS0180C,Christianity
S62SS0048J,Music & Orchestras
S92SS0120J,NSAs
T03SS0136E,NSAs
S61SS0189L,NSAs
199507762R,Environment
S87SS0101F,NSAs
S73SS0035B,Disability Sports
S65SS0010H,NSAs
S80SS0026C,Family
201309577Z,Historical & Cultural Conservation
196600028C,General Charitable Purposes
S71SS0035C,NSAs
201316694R,General Charitable Purposes
S81SS0060H,Community
S69SS0009J,TCM Clinic
201805935W,Literary Arts
198702432N,"Professional, Contemporary & Ethnic Dance"
S63SS0015L,NSAs
S61SS0119J,Disability (Adult)
S62SS0061C,Disability (Adult)
S72SS0018H,Children/Youth
S61SS0083L,Children/Youth
202034234Z,Local Educational Institutions/Funds
S76SS0021F,Children/Youth
200823086Z,General Charitable Purposes
S95SS0103B,Mental Health
S63SS0029L,Taoism
S99SS0090L,Family
T00CC1467C,Christianity
T11SS0143D,Family
S99SS0111B,General Charitable Purposes
200903483M,Local Educational Institutions/Funds
S69SS0047D,Community
S99SS0039L,Active Ageing
S82SS0081H,Disability (Adult)
T08CC4007L,Christianity
S85CC0169K,General Charitable Purposes
T03CC1740J,Local Educational Institutions/Funds
S90SS0054G,Christianity
S60SS0007E,Islam
T08SS0080L,Christianity
T08CC4014F,Christianity
T09SS0187A,Christianity
S98SS0144L,Children/Youth
S64SS0024C,Christianity
201532866G,General Charitable Purposes
202013016N,General Charitable Purposes
S87SS0082G,Buddhism
201206026Z,Christianity
201700430E,General Charitable Purposes
T13SS0009A,Christianity
195000117E,Buddhism
S98SS0136J,Christianity
S57SS0012G,Islam
S64SS0031J,Islam
T07CC3011L,Central
S87CC0489C,Christianity
S88CC0549A,Christianity
T02SS0100J,Community
T01SS0197K,Christianity
T02CC1585L,Community
201229915M,Theatre & Dramatic Arts
197200718C,Christianity
199001767N,Others
198403067N,Christianity
198301499R,Christianity
201805560D,Mental Health
201622889K,Children/Youth
201203593Z,Cluster/Hospital Funds
200810043H,Children/Youth
S99CC1354K,General Charitable Purposes
S61SS0154E,Christianity
T00SS0057E,Children/Youth
S86SS0058G,Christianity
T04SS0026C,Family
S63SS0051C,NSAs
S66SS0029D,Christianity
201807452K,Local Educational Institutions/Funds
S81SS0085J,General Charitable Purposes
T08CC3008E,Local Educational Institutions/Funds
T02CC1590C,Local Educational Institutions/Funds
190400006N,Islam
T15CC0003G,Community
S80SS0037D,Islam
S73SS0006E,Hinduism
S67SS0012K,Hinduism
S89CC0701L,Children/Youth
S58SS0020C,Islam
198202752E,Christianity
T02SS0153L,Children/Youth
201014368N,Nursing Home
200306035Z,Humanitarian Aid
T08CC4072L,Christianity
S80SS0179G,Nursing Home
S94SS0016K,Other Community-based Services
200201965D,Children/Youth
200207586Z,Community
S89CC0655G,Christianity
S81SS0074H,Taoism
S95SS0076A,Other Community-based Services
S96SS0100H,Children/Youth
T01SS0070D,Children/Youth
S86SS0056D,Christianity
S91SS0035J,Buddhism
201508668D,General Charitable Purposes
S95SS0035G,Buddhism
S66SS0027A,General Charitable Purposes
201204335M,Historical & Cultural Conservation
S87CC0539B,Christianity
T03SS0021G,Buddhism
S83SS0003J,Christianity
T02CC1575F,
S92SS0060E,Eldercare
201120171W,Community
S99SS0044C,Community
201118604G,Cluster/Hospital Funds
S61SS0196F,Christianity
S86CC0384E,Foreign Educational Institutions/Funds
S73SS0007A,Christianity
S92CC0888D,Eldercare
S69SS0057J,Disability (Adult)
T04SS0193H,Community
S96SS0104C,Community
S64SS0023G,Taoism
198004651E,Community
201330740C,General Charitable Purposes
S85CC0143B,Children/Youth
201021641E,General Charitable Purposes
202032665N,Think Tanks
S87CC0531A,Christianity
S88SS0058F,Support Groups
S91SS0008D,Christianity
201730459D,Diseases/Illnessess Support Group
200201617W,General Charitable Purposes
S88SS0120C,Nursing Home
S61SS0171E,Christianity
S61SS0111H,Christianity
S88SS0082A,Christianity
S99SS0015F,Community
S92SS0036K,Buddhism
